date	total_pubs	total_cites	h_index	i10_index
2018-12-31		478		
2019-03-31		556		
2019-05-17	66	577		
2019-05-18	66	580		
2019-05-19	66	580		
2019-05-20	67	582		
2019-05-23	67	584		
2019-05-28	68	588		
2019-05-29	68	588		
2019-06-04	68	591		
2019-06-05	68	591		
2019-06-07	68	591		
2019-06-08	68	593		
2019-06-11	68	598		
2019-06-13	68	601		
2019-06-14	68	601		
2019-06-18	68	604		
2019-06-21	68	605		
2019-06-26	68	613		
2019-06-27	68	612		
2019-06-28	68	612		
2019-06-30	68	614		
2019-07-18	68	641		
2019-07-25	69	644		
2019-07-27	71	646		
2019-07-30	71	650		
2019-08-01	71	650		
2019-08-04	71	650		
2019-08-05	71	650		
2019-08-06	71	650		
2019-08-13	71	654		
2019-08-14	71	654		
2019-08-15	71	655		
2019-08-16	71	655		
2019-08-19	71	656		
2019-08-21	71	658		
2019-08-22	71	661		
2019-08-23	71	661		
2019-08-24	72	662		
2019-08-29	71	664		
2019-09-02	71	666		
2019-09-03	71	669		
2019-09-04	71	669		
2019-09-05	71	669		
2019-09-06	71	669		
2019-09-09	71	672		
2019-09-11	71	672		
2019-09-12	71	672		
2019-09-16	71	672		
2019-09-17	71	675		
2019-09-18	71	675		
2019-09-19	71	678		
2019-09-21	71	679		
2019-09-24	71	681		
2019-09-25	71	681		
2019-09-27	71	682		
2019-09-29	71	682		
2019-10-01	72	684		
2019-10-21	72	702		
2019-10-22	72	705		
2019-10-24	72	705		
2019-10-25	72	705		
2019-10-28	72	707		
2019-10-29	73	715		
2019-10-31	73	715		
2019-11-01	73	719		
2019-11-03	74	722		
2019-11-04	74	722		
2019-11-05	75	725		
2019-11-07	75	728		
2019-11-10	75	730		
2019-11-11	75	730		
2019-11-12	75	732		
2019-11-14	75	734		
2019-11-18	75	735		
2019-11-20	75	736		
2019-11-22	75	736		
2019-11-23	75	737		
2019-11-26	75	740		
2019-11-29	75	742		
2019-11-30	75	743		
2019-12-02	75	748		
2019-12-04	75	748		
2019-12-06	75	750		
2019-12-09	75	750		
2019-12-11	75	757		
2019-12-12	76	760		
2019-12-14	76	762		
2019-12-16	76	762		
2019-12-17	76	764		
2019-12-19	77	767		
2019-12-21	77	769		
2019-12-26	77	771		
2019-12-27	77	771		
2019-12-28	77	773		
2019-12-31	78	780		
2020-01-01	79	783		
2020-01-04	79	784		
2020-01-06	79	784		
2020-01-07	79	783		
2020-01-09	79	784		
2020-01-10	79	787		
2020-01-13	79	787		
2020-01-17	79	789		
2020-01-17	79	789		
2020-01-21	78	788		
2020-01-23	78	788		
2020-01-31	77	792		
2020-02-01	77	794		
2020-02-06	77	798		
2020-02-09	77	800		
2020-02-13	77	803		
2020-02-25	77	830		
2020-02-27	77	830		
2020-03-02	77	830		
2020-03-05	77	835		
2020-03-09	78	838		
2020-03-14	78	844		
2020-03-18	78	848		
2020-03-20	78	848		
2020-03-21	78	849		
2020-03-24	78	852		
2020-03-30	78	852		
2020-04-02	78	858		
2020-04-05	81	860		
2020-04-07	81	862		
2020-04-08	81	862		
2020-04-15	81	865		
2020-04-16	81	865		
2020-04-23	82	869		
2020-04-25	82	875		
2020-04-30	81	878		
2020-05-04	81	881		
2020-05-07	81	886		
2020-05-09	81	887
2020-05-15	82	904	15	31
2020-05-16	82	908	15	32
2020-05-23	82	912	15	32
2020-05-26	82	915	15	32
2020-05-28	82	918	15	32
2020-06-02	82	922	15	32
2020-06-04	82	923	15	32
2020-06-06	82	929	15	32
2020-06-08	82	940	15	32
2020-06-10	83	941	15	32
2020-06-14	83	941	15	32
2020-06-15	84	966	15	33
2020-06-17	84	966	15	33
2020-06-20	84	973	16	33
2020-06-22	84	973	16	33
2020-06-24	84	979	16	33
2020-06-26	85	983	16	33
2020-07-03	85	993	16	33
2020-07-07	86	996	16	33
2020-07-11	86	997	16	33
2020-07-16	86	1005	16	34
2020-07-28	86	1016	16	34
2020-07-29	86	1015	16	34
2020-08-01	93	1024	16	34
2020-08-17	94	1048	16	34
2020-08-24	94	1056	17	34
